Маркитантова Н, 424 группа
Домашнее задание 2 -- Отчет
Текст: Ф.Достоевский "Преступление и наказание", несколько глав.
Анализатор: pymorphy2
сверкать 4
поддерживать 4
собственноручно 4
шумно 4
какихтый 4
показание 4
шептать 4
слышаться 4
снурок 4
признак 4
лавиза 4
отступить 4
быв 4
попасться 4
объявлять 4
взаправду 4
великий 4
щи 4
зависеть 4
спичка 4
подарок 4
папиросочница 4
опасный 4
петля 4
ощущать 4
промышленник 4
вывести 4
сонечкина 4
краснеть 4
заслужить 4
проклятый 4
говядина 4
мечтание 4
вспыхнуть 4
уведомить 4
полминуты 4
спрятаться 4
благородство 4
раненый 4
голый 4
трактирный 4
обещание 4
врозь 4
кровать 4
протягивать 4
этака 4
проседь 4
панорама 4
укорять 4
обещаться 4
нона 4
точность 4
цыпочка 4
лениво 4
красить 4
припадок 4
эдакий 4
приниматься 4
изъяснить 4
здравый 4
всматриваться 4
утопленница 4
собрать 4
ступень 4
опятьтак 4
угроза 4
просыпаться 4
ипохондрик 4
обида 4
колея 4
частый 4
озадачить 4
перевод 4
набитый 4
неловко 4
течь 4
пение 4
заявить 4
сохранить 4
есь 4
ан 4
решаться 4
итого 4
точка 4
жадно 4
софа 4
противоречить 4
осмотреться 4
гнев 4
публика 4
вершковый 4
осесть 4
проба 4
выздоровление 4
приглашать 4
чаща 4
уставиться 4
дура 4
косыночка 4
уложить 4
физиономия 4
всеять 4
выгнать 4
ругать 4
бабий 4
родной 4
разобрать 4
число 4
поймать 4
вынимать 4
ничтожный 4
участие 4
косноязычный 4
высказать 4
отнюдь 4
уход 4
валяться 4
драка 4
васильевский 4
смешно 4
припухнуть 4
предрассудок 4
дорого 4
наполеон 4
дарья 4
решимость 4
экий 4
выгодный 4
мыло 4
обыкновенно 4
некогда 4
сдержать 4
серый 4
греть 4
самовар 4
беспрерывный 4
выгода 4
масло 4
притаиться 4
ступить 4
удаться 4
жадностие 4
соглашаться 4
оправдание 4
мещанка 4
сверкнуть 4
святой 4
наивный 4
материал 4
опускать 4
онитый 4
звонок 4
подмигнуть 4
заговаривать 4
мерещиться 4
семя 4
настенёк 4
секунда 4
ноготь 4
угадать 4
шевелиться 4
залиться 4
отмахиваться 4
сверх 4
нерв 4
вследствие 4
рассмотреть 4
слог 4
развитие 4
рассуждать 4
понравиться 4
возражение 4
встревожить 4
прикоснуться 4
справа 4
бровь 4
уплата 4
первоначальный 4
шевелить 4
наполовину 4
какимнибудь 4
посещение 4
намёк 4
слушатель 4
здоровье 4
примерно 4
занятие 4
выставить 4
грош 4
запомнить 4
всеть 4
ээх 4
столкнуться 4
потихоньку 4
усаживаться 4
изнеможение 4
